,term,score
0,stimson,368.1793712755091
1,secretary,66.43882531096125
2,roosevelt,43.11053792498833
3,president,43.102803324916124
4,manchurian,40.647246915705225
5,hoover,40.55134625505006
6,japan,27.307447534320115
7,japanese,23.450096505956097
8,state,22.928077790174836
9,wood,21.88359186019853
10,atomic,21.657149892301447
11,aggression,21.33152259219656
12,taft,20.9865582347618
13,theodore,20.637755671529064
14,rebating,18.636644002483877
15,states,17.349316006924937
16,root,16.78924658780944
17,army,15.370821527195652
18,bomb,14.909232070826498
19,henry,14.776263549385524
20,governor,14.311552901100102
21,republican,13.732393823474492
22,recommendation,13.5223997257686
23,post,13.50840898738228
24,almost,13.100029511929936
25,forces,12.807782131004434
26,administration,12.743265106824893
27,highhold,12.42442933498925
28,colonel,12.394797433137002
29,1945,12.197268646999932
30,statesman,11.88276860666439
31,political,11.868648977384193
32,woodring,11.613499118772921
33,public,11.56621067128329
34,general,11.171620386811941
35,prosecutions,11.03813497386936
36,diplomacy,10.828574946150724
37,election,10.743416571513855
38,cabinets,10.59184787124094
39,nagasaki,10.59184787124094
40,largely,10.298514031072957
41,21,10.246225704803546
42,elihu,10.22720475765303
43,autonomy,10.22720475765303
44,end,10.142556542673509
45,senior,9.96552872879538
46,sept,9.94608496103189
47,hiroshima,9.918903397998514
48,tenacious,9.651840612749469
49,between,9.6422668890392
50,military,9.62220871089722
51,government,9.57464630637917
52,advance,9.503076689313605
53,committee,9.448268263138266
54,victorious,9.416274541436703
55,manchuria,9.416274541436703
56,truman,9.363516642408928
57,occupied,9.363516642408928
58,district,9.165642739033535
59,candidate,9.04062464983183
60,1911,8.980016527879272
61,prepared,8.862354388419428
62,artillery,8.84091039653314
63,warning,8.680824981186067
64,coolidge,8.680824981186067
65,law,8.6766535986403
66,july,8.6766535986403
67,course,8.64171887876528
68,powers,8.640030471958262
69,practice,8.640030471958262
70,hand,8.538708894355622
71,sufficiently,8.532609036878624
72,agreements,8.39462329390472
73,convinced,8.383463951643778
74,energy,8.239436294084694
75,period,8.120658099413674
76,europe,8.090239701872797
