,term,score
0,bartok,93.82414727788955
1,hungarian,56.42536237770943
2,music,45.08248474312497
3,folk,37.698676321254204
4,piano,28.948341545465706
5,composer,23.450096505956097
6,songs,20.45312571952854
7,budapest,18.0298663010248
8,hungary,17.065218073757247
9,premiere,16.288594015993418
10,percussion,15.88777180686141
11,concerto,13.808330265181574
12,works,13.801149972398873
13,prince,13.287371638393841
14,violin,12.798913555317935
15,compositions,12.59193494085708
16,bluebeard,12.42442933498925
17,kodaly,12.42442933498925
18,janos,12.42442933498925
19,szigeti,11.613499118772921
20,bela,11.613499118772921
21,debussy,11.03813497386936
22,rumanian,11.03813497386936
23,academy,10.88987014671115
24,soloists,10.59184787124094
25,unpublished,10.59184787124094
26,orchestra,10.414123930708271
27,comprised,10.22720475765303
28,hall,10.143655982350195
29,concert,9.96552872879538
30,heard,9.898180196845026
31,pianos,9.651840612749469
32,influenced,9.503076689313605
33,melodies,9.416274541436703
34,1940,9.281577477535993
35,researches,9.20555351012105
36,soloist,9.0149331505124
37,wooden,9.0149331505124
38,composers,8.144297007996709
39,symphony,8.029980180316812
40,castle,8.029980180316812
41,string,7.819259149001159
42,appearance,7.532738080146395
43,carnegie,7.219049964100482
44,composition,7.219049964100482
45,1899,7.0083289327848295
46,opera,6.758002646876818
47,composed,6.700027573130313
48,artists,6.483600403849848
49,willem,6.212214667494625
50,pressburg,6.212214667494625
51,nagyszentmiklos,6.212214667494625
52,ditta,6.212214667494625
53,rhapsody,6.212214667494625
54,erkel,6.212214667494625
55,atonalist,6.212214667494625
56,pasztory,6.212214667494625
57,biskra,6.212214667494625
58,koessler,6.212214667494625
59,mengelberg,6.212214667494625
60,transylvanian,6.212214667494625
61,ferncliff,6.212214667494625
62,hartsdale,6.212214667494625
63,kossuth,6.212214667494625
64,zoltan,6.212214667494625
65,magyar,6.212214667494625
66,millman,6.212214667494625
67,thoman,6.212214667494625
68,transcribe,6.212214667494625
69,lazlo,6.212214667494625
70,compatriot,6.212214667494625
71,torontal,6.212214667494625
72,gallo,6.212214667494625
73,ember,6.212214667494625
74,parry,6.212214667494625
75,istvan,6.212214667494625
76,batkai,6.212214667494625
77,musica,6.212214667494625
78,szekely,6.212214667494625
79,slovakian,6.212214667494625
80,repute,5.806749559386461
81,celesta,5.806749559386461
82,rhapsodie,5.806749559386461
83,menuhin,5.806749559386461
84,slovak,5.806749559386461
