,term,score
0,martin,48.88342794151219
1,manor,33.11440492160808
2,sulgrave,31.061073337473125
3,her,25.77693201004718
4,woodhull,24.8488586699785
5,mrs,24.368062237834785
6,claflin,23.226998237545843
7,she,21.088055551115563
8,suffrage,15.638518298002317
9,woman,12.910629941689233
10,england,11.757424782270148
11,behalf,9.575369344050786
12,states,8.674658003462469
13,anglo,8.532609036878624
14,purchase,7.454616035413249
15,rights,7.388131774692762
16,author,6.75420449369114
17,lectures,6.588887870820692
18,london,6.587494940226708
19,friendship,6.432964787881268
20,both,6.408227759981978
21,atlantic,6.3835795627005245
22,tennie,6.212214667494625
23,1531,6.212214667494625
24,unfits,6.212214667494625
25,stirpicultures,6.212214667494625
26,relics,6.212214667494625
27,isles,6.212214667494625
28,biddulph,6.212214667494625
29,roxanna,6.212214667494625
30,equal,6.1104284926890235
31,country,6.02879658614727
32,presidency,6.0270830998878875
33,80,5.9866776852528485
34,native,5.8701398690048965
35,maud,5.806749559386461
36,pharmacy,5.806749559386461
37,donors,5.806749559386461
38,donor,5.806749559386461
39,tewksbury,5.806749559386461
40,canning,5.806749559386461
41,multiplication,5.806749559386461
42,zula,5.806749559386461
43,trophy,5.806749559386461
44,organizers,5.806749559386461
45,newspapers,5.796057325644199
46,league,5.655648808297702
47,reuben,5.51906748693468
48,avon,5.51906748693468
49,homer,5.51906748693468
50,enfranchisement,5.51906748693468
51,memorialized,5.51906748693468
52,blazed,5.51906748693468
53,adopted,5.4929575293897965
54,1838,5.29592393562047
55,insurgent,5.29592393562047
56,aviator,5.113602378826515
57,contend,5.113602378826515
58,granting,5.113602378826515
59,liberally,5.113602378826515
60,cement,5.113602378826515
61,leaders,5.021825386764263
62,philanthropist,4.959451698999257
63,aristocracy,4.959451698999257
64,owes,4.959451698999257
65,editorially,4.959451698999257
66,british,4.83345095664486
67,aerial,4.8259203063747345
68,norton,4.8259203063747345
69,banking,4.8259203063747345
70,between,4.8211334445196
71,notices,4.7081372707183515
72,victoria,4.602776755060525
73,eden,4.602776755060525
74,tendencies,4.602776755060525
75,since,4.535202905106626
76,humanitarian,4.5074665752562
77,obituary,4.5074665752562
78,active,4.483845507885006
79,contain,4.42045519826657
80,resided,4.42045519826657
81,conventions,4.3404124905930335
82,trail,4.3404124905930335
83,marriage,4.33832679932015
84,1873,4.266304518439312
85,contributor,4.266304518439312
86,favoring,4.266304518439312
87,promotion,4.19731164695236
88,nominee,4.19731164695236
89,1870,4.19731164695236
90,agitation,4.19731164695236
91,valued,4.132773125814789
92,1872,4.132773125814789
93,social,4.060329049706837
94,europe,4.045119850936398
95,improvement,3.96092286888813
96,indomitable,3.96092286888813
97,lectured,3.9096295745005794
98,arguments,3.9096295745005794
99,cleared,3.860839410331147
100,banker,3.8143193946962546
101,ancestors,3.8143193946962546
102,propaganda,3.8143193946962546
103,rapid,3.8143193946962546
104,cook,3.7698676321254205
105,alike,3.7698676321254205
106,electoral,3.7273080177066245
107,ardent,3.7273080177066245
108,edited,3.6864860231863696
109,veteran,3.6864860231863696
110,generous,3.647265310033088
111,continent,3.609524982050241
112,promote,3.5731573378793664
113,daughter,3.5627957373026224
114,projects,3.538066018068096
115,elsewhere,3.538066018068096
116,origin,3.538066018068096
117,1897,3.5041644663924147
118,goes,3.5041644663924147
119,sides,3.5041644663924147
120,advocate,3.471374643569424
121,soul,3.4396259452548437
122,gift,3.4396259452548437
123,knows,3.40885428658809
124,reform,3.40885428658809
125,cooperation,3.40885428658809
126,flight,3.379001323438409
127,dealing,3.379001323438409
128,contained,3.379001323438409
129,chiefly,3.379001323438409
130,friendly,3.3500137865651567
131,attending,3.3218429095984603
132,sleep,3.294443935410346
133,ancient,3.294443935410346
134,discussion,3.294443935410346
135,lived,3.275007377982484
136,garden,3.2677756883281845
137,weekly,3.2677756883281845
138,classes,3.2677756883281845
139,institution,3.241800201924924
140,principles,3.1917897813502623
141,fund,3.1917897813502623
142,ohio,3.1917897813502623
143,triumph,3.144161732361008
144,forty,3.144161732361008
145,subjects,3.144161732361008
146,000,3.1165086346742035
147,direction,3.076720451565475
148,1914,3.0341608371466795
149,observed,3.0341608371466795
150,candidate,3.0135415499439437
151,lady,2.9933388426264242
152,workers,2.9735362153302445
153,note,2.9735362153302445
154,moving,2.9735362153302445
155,known,2.960823661146335
156,23,2.9541181294731427
157,engaged,2.9541181294731427
158,fortune,2.9350699345024482
159,thirty,2.916377801490296
160,scientific,2.880010157319421
161,blood,2.880010157319421
162,parts,2.8623105802200204
163,religious,2.8623105802200204
164,park,2.8623105802200204
165,raised,2.8110172858324693
166,retirement,2.7944879838812593
167,february,2.778227463009479
168,review,2.7464787646948983
169,countries,2.730974578158933
170,1923,2.730974578158933
171,speaking,2.730974578158933
172,1922,2.7157071060281446
173,recognition,2.7157071060281446
174,interests,2.6858541428784637
175,occasion,2.671255343457311
176,editor,2.6426819710132547
177,tour,2.6426819710132547
178,either,2.6426819710132547
179,january,2.6426819710132547
180,miles,2.628695729038515
181,victory,2.628695729038515
182,organized,2.628695729038515
183,younger,2.628695729038515
184,events,2.6149024069061793
185,race,2.6149024069061793
186,land,2.5878737345182596
187,generation,2.574628507768239
188,complete,2.5615564262008865
189,hall,2.5359139955875487
190,congress,2.4986426007903173
191,devoted,2.4986426007903173
192,sister,2.4865212402579724
193,sept,2.4865212402579724
194,spirit,2.4865212402579724
195,noted,2.4745450492112564
196,especially,2.4745450492112564
197,relations,2.4745450492112564
198,across,2.4510145518010624
199,various,2.4394537293999865
200,movement,2.41672547832243
201,efforts,2.41672547832243
202,freedom,2.405552177724305
203,carried,2.3620670657845664
204,built,2.3620670657845664
205,magazine,2.3514849564540294
206,prize,2.3514849564540294
207,english,2.3203943693839983
