,term,score
0,louis,200.87301547057052
1,schmeling,93.18322001241938
2,heavyweight,69.68099471263753
3,bout,59.51342038799109
4,joe,54.14287473075362
5,knocked,52.0849498871164
6,boxing,49.5821323278182
7,rounds,47.08137270718352
8,baer,46.453996475091685
9,round,43.69641099790833
10,champion,42.4810839482664
11,ring,32.11992072126725
12,fighter,29.38118152866652
13,braddock,29.033747796932303
14,conn,28.033315731139318
15,title,27.96781043461425
16,caesars,23.226998237545843
17,fights,20.663865629073946
18,fight,20.087301547057052
19,max,19.80461434444065
20,championship,19.80461434444065
21,bang,18.636644002483877
22,amateur,18.23632655016544
23,june,17.60941761908762
24,walcott,17.420248678159382
25,knocking,17.420248678159382
26,jacobs,17.420248678159382
27,barrow,17.420248678159382
28,punches,16.55720246080404
29,challenger,16.55720246080404
30,martha,16.059960360633625
31,professional,15.607780529102403
32,dollar,15.443357641324589
33,buddy,15.340807136479546
34,bouts,15.340807136479546
35,detroit,15.079470528501682
36,brown,14.224594187540752
37,hospital,14.000609487312987
38,eighth,13.885498574277696
39,25,13.682334208621795
40,exhibitions,13.5223997257686
41,million,13.50840898738228
42,palace,13.071102753312738
43,1935,12.743265106824893
44,quarry,12.42442933498925
45,carnera,12.42442933498925
46,galento,12.42442933498925
47,marciano,12.42442933498925
48,bomber,12.42442933498925
49,collapsed,12.398319377444366
50,stadium,12.216445511995063
51,stopped,11.894144861320978
52,yankee,11.88276860666439
53,lost,11.868648977384193
54,losing,11.728888723501738
55,ezzard,11.613499118772921
56,greeter,11.613499118772921
57,challengers,11.613499118772921
58,just,11.535065332187521
59,blacks,11.181924053119873
60,madison,11.05945806955911
61,frazier,11.03813497386936
62,nev,11.03813497386936
63,punching,10.59184787124094
64,knockout,10.59184787124094
65,purse,10.59184787124094
66,pacemaker,10.22720475765303
67,willy,10.22720475765303
68,ropes,10.22720475765303
69,hitler,10.22656285976427
70,1949,10.043650773528526
71,against,9.950026655364503
72,vegas,9.918903397998514
73,second,9.918530520047643
74,jack,9.883331806231038
75,garden,9.803327064984554
76,march,9.677742742392848
77,lightning,9.651840612749469
78,right,9.57464630637917
79,square,9.503076689313605
80,chicago,9.240967991679922
81,las,9.20555351012105
82,revive,9.20555351012105
83,cardiac,9.0149331505124
84,rocky,9.0149331505124
85,12th,9.0149331505124
86,1969,8.980016527879272
87,black,8.856055863301705
88,seconds,8.84091039653314
89,comeback,8.84091039653314
90,boxer,8.680824981186067
91,tony,8.39462329390472
92,54,8.39462329390472
93,morgan,8.265546251629578
94,gate,8.265546251629578
95,revenue,8.144297007996709
96,springs,8.144297007996709
97,19,8.057562428635391
98,15,8.030088192414635
99,sum,8.029980180316812
100,down,8.010284699977472
101,desert,7.92184573777626
102,22,7.723885523304718
103,1934,7.723885523304718
104,hospitalized,7.721678820662294
105,1937,7.645959064094935
106,disclosed,7.628638789392509
107,1951,7.607741986762646
108,billy,7.539735264250841
109,sept,7.459563720773917
110,tactics,7.454616035413249
111,jersey,7.454616035413249
112,place,7.447746924541295
113,officially,7.372972046372739
114,oct,7.353043655403187
