,term,score
0,coco,43.485502672462374
1,chanel,37.27328800496775
2,her,16.679191300618765
3,perfume,12.42442933498925
4,fashions,10.22720475765303
5,hepburn,9.651840612749469
6,fashion,9.575369344050786
7,she,8.110790596582909
8,parading,6.212214667494625
9,chambermaid,6.212214667494625
10,gabrielle,6.212214667494625
11,workshop,5.806749559386461
12,couturiers,5.51906748693468
13,ritz,5.29592393562047
14,tart,5.113602378826515
15,textile,4.959451698999257
16,tongued,4.959451698999257
17,laboratories,4.8259203063747345
18,teller,4.8259203063747345
19,jewelry,4.7081372707183515
20,peacefully,4.5074665752562
21,paris,4.465066027185328
22,87,4.266304518439312
23,show,4.219142604915659
24,models,4.19731164695236
25,katherine,4.19731164695236
26,lucky,4.19731164695236
27,costume,4.132773125814789
28,millionaire,4.014990090158406
29,business,4.000174139232282
30,enterprises,3.96092286888813
31,altogether,3.96092286888813
32,termed,3.9096295745005794
33,86,3.9096295745005794
34,featured,3.8143193946962546
35,starring,3.7698676321254205
36,twenties,3.647265310033088
37,employed,3.471374643569424
38,indicated,3.4396259452548437
39,friends,3.4248099943287196
40,dancing,3.40885428658809
41,singing,3.40885428658809
42,height,3.379001323438409
43,tonight,3.3500137865651567
44,dominated,3.3218429095984603
45,designed,3.241800201924924
46,20th,3.0341608371466795
47,shows,3.0135415499439437
48,occurred,2.9933388426264242
49,career,2.987431592399061
50,workers,2.9735362153302445
51,nineteen,2.9735362153302445
52,known,2.960823661146335
53,fortune,2.9350699345024482
54,bad,2.880010157319421
55,60,2.880010157319421
56,musical,2.8623105802200204
57,physician,2.8449188375081507
58,philosophy,2.827824404148851
59,broadway,2.7944879838812593
60,collection,2.7944879838812593
61,running,2.7944879838812593
62,simply,2.730974578158933
63,discovered,2.730974578158933
64,apartment,2.7157071060281446
65,presented,2.6568666060052113
66,hotel,2.6426819710132547
67,spring,2.6012967548504005
68,immediately,2.5359139955875487
69,500,2.4986426007903173
70,ran,2.4510145518010624
71,jan,2.38357327100553
72,addition,2.3727623549013144
73,ill,2.300191662066479
74,opened,2.290241331213311
75,recent,2.2232306209303507
76,cause,2.204881482262154
77,announced,2.169163399660075
78,perhaps,2.1517716569482057
79,month,2.1517716569482057
80,health,2.1431879132568143
