,term,score
0,horowitz,292.51057680753803
1,concert,46.50580073437845
2,pianist,43.314299784602895
3,playing,32.64186501396771
4,piano,32.16482393940634
5,concerts,31.277036596004635
6,carnegie,28.87619985640193
7,frost,23.54068635359176
8,hall,22.82322596028794
9,recording,22.619205792752524
10,toscanini,22.07626994773872
11,chopin,22.07626994773872
12,pianists,20.45440951530606
13,music,18.982098839210515
14,extraordinary,18.727033284817857
15,played,16.180479403745593
16,recital,15.88777180686141
17,stage,15.434170375835079
18,play,14.709385623249197
19,record,14.50035286993458
20,recordings,14.292629351517466
21,rca,14.124411812155055
22,violinist,13.5223997257686
23,turini,12.42442933498925
24,retirements,12.42442933498925
25,cancellations,12.42442933498925
26,perahia,12.42442933498925
27,scarlatti,12.42442933498925
28,yesterday,12.26449177489754
29,me,12.065048084337397
30,performances,12.054166199775775
31,manhattan,11.894144861320978
32,musician,11.728888723501738
33,gelb,11.613499118772921
34,musical,11.449242320880082
35,sessions,11.309602896376262
36,sonatas,11.03813497386936
37,strung,11.03813497386936
38,sousa,11.03813497386936
39,levant,11.03813497386936
40,romantic,10.828574946150724
41,1986,10.828574946150724
42,you,10.775700831229031
43,tchaikovsky,10.59184787124094
44,downes,10.59184787124094
45,kiev,10.59184787124094
46,tour,10.570727884053019
47,musicians,10.512493399177245
48,audience,10.246225704803546
49,stripes,10.22720475765303
50,liszt,10.22720475765303
51,arturo,10.22720475765303
52,super,10.22720475765303
53,instrument,10.137003970315227
54,neurotic,9.918903397998514
55,recorded,9.883331806231038
56,pieces,9.883331806231038
57,1975,9.725400605774771
58,recitals,9.651840612749469
59,sonata,9.651840612749469
60,appearances,9.575369344050786
61,disk,9.416274541436703
62,beethoven,9.416274541436703
63,season,9.296098074852752
64,concerto,9.20555351012105
65,colors,9.20555351012105
66,date,9.165642739033535
67,food,9.102482511440039
68,vladimir,9.0149331505124
69,ronald,8.84091039653314
70,tokyo,8.84091039653314
71,virtuoso,8.84091039653314
72,controlling,8.84091039653314
73,blamed,8.680824981186067
74,legacy,8.680824981186067
75,return,8.64171887876528
76,audiences,8.586931740660061
77,tickets,8.532609036878624
78,we,8.479378476065747
79,amazing,8.39462329390472
80,renewed,8.265546251629578
81,eat,8.029980180316812
82,ignored,8.029980180316812
83,guide,7.92184573777626
84,stern,7.92184573777626
85,celebrated,7.886087187115544
86,soviet,7.723885523304718
87,victor,7.721678820662294
88,central,7.645959064094935
89,publicized,7.628638789392509
90,hated,7.628638789392509
91,cook,7.539735264250841
92,times,7.490950382972258
93,thought,7.447746924541295
94,critic,7.423635147633769
95,heard,7.423635147633769
96,family,7.402059152865838
97,fingers,7.372972046372739
98,temperament,7.294530620066176
99,excitement,7.294530620066176
100,people,7.271616972444349
101,again,7.197665496615958
102,take,7.197665496615958
103,returned,7.125591474605245
104,thing,7.086201197353699
105,wish,7.076132036136192
106,touched,7.0083289327848295
107,am,6.961183108151995
108,waiting,6.942749287138848
109,classical,6.879251890509687
110,singing,6.81770857317618
111,ever,6.761704361782339
112,doctors,6.758002646876818
113,line,6.75420449369114
114,composer,6.700027573130313
115,forever,6.700027573130313
116,devotion,6.700027573130313
117,tone,6.643685819196921
118,score,6.588887870820692
119,1976,6.535551376656369
120,studio,6.535551376656369
121,every,6.529449157963294
122,travel,6.483600403849848
123,details,6.432964787881268
124,1980,6.432964787881268
125,subsequently,6.288323464722016
126,less,6.231144332256807
127,mstislav,6.212214667494625
128,gasp,6.212214667494625
129,blumfield,6.212214667494625
130,graffman,6.212214667494625
131,communicator,6.212214667494625
132,octave,6.212214667494625
133,tantalizingly,6.212214667494625
134,grammophon,6.212214667494625
135,gorowitz,6.212214667494625
136,mussorgsky,6.212214667494625
137,beecham,6.212214667494625
138,rostropovich,6.212214667494625
139,personalized,6.212214667494625
140,revitalized,6.212214667494625
141,videotapes,6.212214667494625
142,refurbished,6.212214667494625
143,regina,6.212214667494625
144,volodya,6.212214667494625
145,mannes,6.212214667494625
146,janis,6.212214667494625
147,fiorillo,6.212214667494625
148,wanda,6.212214667494625
149,domenico,6.212214667494625
150,fallibilities,6.212214667494625
151,clementi,6.212214667494625
152,sonya,6.212214667494625
153,sony,6.212214667494625
154,watts,6.212214667494625
155,liebestod,6.212214667494625
156,purify,6.212214667494625
157,overmedication,6.212214667494625
158,duress,6.212214667494625
159,fortissimos,6.212214667494625
160,stomping,6.212214667494625
161,etude,6.212214667494625
162,dichterliebe,6.212214667494625
163,busoni,6.212214667494625
164,leaps,6.212214667494625
165,knew,6.207239823309276
166,1974,6.197398716568501
167,read,6.113482192796964
168,standard,6.068321674293359
169,europe,6.0676797764045975
170,debut,6.0270830998878875
171,stars,6.0270830998878875
172,lincoln,5.9866776852528485
173,manager,5.908236258946285
174,awarded,5.832755602980592
175,felling,5.806749559386461
176,pedal,5.806749559386461
177,cellist,5.806749559386461
178,pianism,5.806749559386461
179,powered,5.806749559386461
180,pianistic,5.806749559386461
181,freer,5.806749559386461
182,fischer,5.806749559386461
183,octaves,5.806749559386461
184,steinberg,5.806749559386461
185,94th,5.806749559386461
186,fatigued,5.806749559386461
187,evenly,5.806749559386461
188,sharper,5.806749559386461
189,frailty,5.806749559386461
190,deutsche,5.806749559386461
191,appendectomy,5.806749559386461
192,cornered,5.806749559386461
193,sabbatical,5.806749559386461
194,anton,5.806749559386461
195,masterworks,5.806749559386461
196,hovered,5.806749559386461
197,haywire,5.806749559386461
198,tryout,5.806749559386461
199,gut,5.806749559386461
200,dieskau,5.806749559386461
201,contrasts,5.806749559386461
202,demon,5.806749559386461
203,midtown,5.806749559386461
204,86th,5.806749559386461
205,infidelity,5.806749559386461
206,easiest,5.806749559386461
207,textual,5.806749559386461
208,withdrawals,5.806749559386461
209,kharkov,5.806749559386461
210,reopening,5.806749559386461
211,1965,5.796057325644199
212,public,5.783105335641645
213,berlin,5.760020314638842
214,water,5.760020314638842
215,anyone,5.689837675016301
216,highly,5.588975967762519
217,1968,5.588975967762519
218,needed,5.588975967762519
219,apparently,5.556454926018958
220,sound,5.524454243326075
221,spectrum,5.51906748693468
222,messrs,5.51906748693468
223,uneven,5.51906748693468
224,cups,5.51906748693468
225,inaccessible,5.51906748693468
226,rachmaninoff,5.51906748693468
227,wildest,5.51906748693468
