,term,score
0,holland,14.878355096997772
1,submarine,14.477760919124204
2,submarines,10.22720475765303
3,boats,8.84091039653314
4,hollands,6.212214667494625
5,merrimac,6.212214667494625
6,passaic,6.212214667494625
7,monitor,5.806749559386461
8,incapacitate,5.806749559386461
9,expectations,4.42045519826657
10,perfected,4.266304518439312
11,exception,4.0721485039983545
12,ships,4.014990090158406
13,experimental,4.014990090158406
14,sank,4.014990090158406
15,lies,4.014990090158406
16,destroy,3.96092286888813
17,kill,3.7273080177066245
18,ireland,3.6864860231863696
19,1898,3.6864860231863696
20,engagement,3.5041644663924147
21,construction,3.3500137865651567
22,navy,3.0552142463445118
23,widow,2.9933388426264242
24,river,2.9933388426264242
25,thinking,2.880010157319421
26,opposed,2.8449188375081507
27,fought,2.827824404148851
28,raised,2.8110172858324693
29,interested,2.7622271216630376
30,accept,2.7157071060281446
31,teacher,2.6426819710132547
32,battle,2.5615564262008865
33,sons,2.4986426007903173
34,failed,2.3727623549013144
35,built,2.3620670657845664
36,idea,2.3620670657845664
37,survived,2.2232306209303507
38,civil,2.204881482262154
39,tried,2.1868629767594756
40,course,2.16042971969132
41,famous,1.9781081628973656
42,come,1.963719425445266
43,government,1.914929261275834
44,having,1.888082011239646
45,daughter,1.7813978686513112
46,set,1.7636982915519104
47,men,1.7013551609777748
48,now,1.658337775894084
49,although,1.5630275960897593
50,several,1.5582543173371017
51,few,1.5535037145785038
52,school,1.4457763339104113
53,states,1.4457763339104113
54,peron,0.0
55,permutation,0.0
56,pernicious,0.0
57,pershin,0.0
58,persecuted,0.0
59,permitting,0.0
60,permitted,0.0
61,permits,0.0
62,peronismo,0.0
63,pershing,0.0
64,persia,0.0
65,permissiveness,0.0
66,persian,0.0
67,permissive,0.0
68,permission,0.0
69,permissible,0.0
70,permeated,0.0
71,permeate,0.0
72,permit,0.0
73,persevered,0.0
74,peronist,0.0
75,permanent,0.0
76,persecute,0.0
77,persecution,0.0
78,perse,0.0
79,perryville,0.0
80,perry,0.0
81,perranarworthal,0.0
82,perplexity,0.0
83,perplexities,0.0
84,perplexing,0.0
85,perplexed,0.0
86,perplex,0.0
87,perpetuity,0.0
88,perpetuating,0.0
89,peronista,0.0
90,perpetuated,0.0
91,perpetuate,0.0
92,perpetually,0.0
93,persecutions,0.0
94,perpetual,0.0
95,persephone,0.0
96,perpetrator,0.0
97,perseverance,0.0
98,perparation,0.0
99,persevere,0.0
100,peroration,0.0
101,perons,0.0
102,permanently,0.0
103,periods,0.0
104,permanency,0.0
105,perm,0.0
106,performers,0.0
107,performer,0.0
108,performed,0.0
109,performances,0.0
110,performance,0.0
111,performaces,0.0
112,perform,0.0
113,perforation,0.0
114,perforated,0.0
115,perfidy,0.0
116,perfectly,0.0
117,perfectionist,0.0
118,perfectionism,0.0
119,perfection,0.0
120,perfecting,0.0
121,perfect,0.0
122,perestroika,0.0
123,peres,0.0
124,perennially,0.0
125,perennial,0.0
126,peremptory,0.0
127,peremptorily,0.0
128,pereira,0.0
129,peregrina,0.0
130,perego,0.0
131,peredelkino,0.0
132,perdu,0.0
133,perdido,0.0
134,percy,0.0
135,performing,0.0
136,perfume,0.0
137,perfunctory,0.0
138,periodicals,0.0
139,perle,0.0
140,perky,0.0
141,perkins,0.0
142,perkerson,0.0
143,perjury,0.0
144,peritonitis,0.0
145,perished,0.0
146,perish,0.0
147,periphery,0.0
148,peripheral,0.0
149,peripateticism,0.0
150,peripatetic,0.0
151,persisted,0.0
152,periodically,0.0
153,perfuse,0.0
154,periodical,0.0
155,periodic,0.0
156,period,0.0
157,perins,0.0
158,perimeter,0.0
159,perim,0.0
160,perils,0.0
161,perilously,0.0
162,perilous,0.0
163,peril,0.0
164,perhaps,0.0
165,pergolesi,0.0
166,perfusion,0.0
167,persichetti,0.0
168,personages,0.0
169,persistence,0.0
170,ph,0.0
171,peyser,0.0
172,peyuan,0.0
173,pfeiffer,0.0
174,pfitzner,0.0
175,pfoerschin,0.0
176,pforta,0.0
177,pha,0.0
178,peuple,0.0
179,phaedra,0.0
180,phallic,0.0
181,phalloides,0.0
182,pham,0.0
183,phantom,0.0
184,phantoms,0.0
185,pew,0.0
186,petulant,0.0
187,pharaohs,0.0
188,petrus,0.0
189,petrie,0.0
190,petrified,0.0
191,petrograd,0.0
192,petroleum,0.0
193,petronius,0.0
194,petrovo,0.0
195,petrushka,0.0
196,petulance,0.0
197,petted,0.0
198,pettibone,0.0
199,petticoat,0.0
200,pettiford,0.0
201,pettiness,0.0
202,petty,0.0
203,pharaoh,0.0
204,pharaonic,0.0
205,persistent,0.0
206,philip,0.0
207,philanthropies,0.0
208,philanthropist,0.0
209,philanthropy,0.0
210,phileas,0.0
211,philharmonia,0.0
212,philharmonic,0.0
213,philippe,0.0
214,philanderer,0.0
215,philippic,0.0
216,philippine,0.0
217,philippines,0.0
218,philistine,0.0
219,philistinism,0.0
220,phillies,0.0
221,philanthropic,0.0
222,philadelphia,0.0
223,pharisaism,0.0
224,phases,0.0
225,pharmaceutical,0.0
226,pharmaceuticals,0.0
227,pharmacies,0.0
228,pharmacist,0.0
229,pharmacy,0.0
230,phase,0.0
231,pheasant,0.0
232,phil,0.0
233,phelan,0.0
234,phelps,0.0
235,phenomena,0.0
236,phenomenal,0.0
237,phenomenon,0.0
238,phi,0.0
239,petoskey,0.0
240,petitions,0.0
241,petitioners,0.0
242,persuade,0.0
243,personify,0.0
244,personnel,0.0
245,persons,0.0
246,perspective,0.0
247,perspicacity,0.0
248,perspiration,0.0
249,persuaded,0.0
