,term,score
0,sanger,291.97408937224736
1,birth,81.04015153255652
2,control,71.93222545090394
3,mrs,66.14188321698013
4,her,59.13531461128471
5,she,43.798269221547706
6,parenthood,27.5953374346734
7,contraceptive,23.226998237545843
8,nurse,22.885916368177526
9,catholic,19.606654129969108
10,comstock,18.636644002483877
11,slee,18.636644002483877
12,movement,16.91707834825701
13,higgins,16.55720246080404
14,rebel,16.531092503259156
15,jail,16.288594015993418
16,roman,15.605861070681545
17,woman,15.06240159863744
18,planned,14.490143314110497
19,margaret,14.438099928200964
20,socialists,13.0212374717791
21,information,12.767159125401049
22,dr,12.000522417696846
23,problem,11.973355370505697
24,police,11.894144861320978
25,clinic,11.88276860666439
26,church,11.810335328922832
27,jacobs,11.613499118772921
28,pregnancy,11.613499118772921
29,league,11.311297616595404
30,kennedy,11.244069143329877
31,clinics,11.03813497386936
32,tucson,10.59184787124094
33,abortion,10.22720475765303
34,rallies,9.918903397998514
35,trained,9.725400605774771
36,indictment,9.651840612749469
37,vatican,9.416274541436703
38,cure,9.0149331505124
39,1921,8.980016527879272
40,artificial,8.680824981186067
41,marriage,8.6766535986403
42,physician,8.534756512524453
43,scope,8.532609036878624
44,cathedral,8.39462329390472
45,senator,8.383463951643778
46,patrick,8.265546251629578
47,worldwide,8.029980180316812
48,court,7.928045913039764
49,street,7.826407830705608
50,federation,7.819259149001159
51,hospitals,7.819259149001159
52,hall,7.607741986762646
53,sept,7.459563720773917
54,physicians,7.294530620066176
55,dress,7.146314675758733
56,phrase,7.076132036136192
57,advocate,6.942749287138848
58,town,6.930725993759941
59,mother,6.894313191049941
60,legal,6.879251890509687
61,accepted,6.870723993639933
62,religion,6.758002646876818
63,human,6.7257682618275085
64,japanese,6.700027573130313
65,11,6.614644446786462
66,discussion,6.588887870820692
67,irish,6.588887870820692
68,members,6.507490198980225
69,law,6.507490198980225
70,women,6.455314970844617
71,subsequent,6.432964787881268
72,study,6.429563739770443
73,lower,6.3835795627005245
74,brooklyn,6.3835795627005245
75,stone,6.3835795627005245
76,methods,6.242344428272618
77,corning,6.212214667494625
78,environments,6.212214667494625
79,kidneys,6.212214667494625
80,wilted,6.212214667494625
81,spouse,6.212214667494625
82,subnormal,6.212214667494625
83,enrichment,6.212214667494625
84,moscowitz,6.212214667494625
85,wobblies,6.212214667494625
86,guttmacher,6.212214667494625
87,sangers,6.212214667494625
88,lader,6.212214667494625
89,brownsville,6.212214667494625
90,quashed,6.212214667494625
91,propagandizing,6.212214667494625
92,shoving,6.212214667494625
93,berkman,6.212214667494625
94,arteriosclerosis,6.212214667494625
95,stratum,6.212214667494625
96,purcell,6.212214667494625
97,mutterers,6.212214667494625
98,spearhead,6.212214667494625
