,term,score
0,cohan,248.9084249741621
1,theatre,81.09603176252182
2,broadway,50.30078370986267
3,song,38.901602423099085
4,cohans,37.27328800496775
5,vaudeville,37.27308017706625
6,dance,33.50013786565157
7,plays,32.926727268890666
8,josie,31.061073337473125
9,actor,29.735362153302447
10,george,27.31743044317708
11,neill,27.0447994515372
12,trouper,24.8488586699785
13,actors,24.29962250498597
14,stage,24.253696304883697
15,playwriting,21.18369574248188
16,doodle,20.45440951530606
17,songs,20.45312571952854
18,yankee,19.80461434444065
19,patriotic,19.548147872502895
20,hollywood,19.447592241066353
21,theatrical,19.071596973481274
22,play,18.912067229891825
23,helen,17.86578668939683
24,president,16.933244163359905
25,thanks,16.531092503259156
26,equity,15.88777180686141
27,sketches,15.84369147555252
28,playwright,15.443357641324589
29,you,15.393858330327186
30,sister,14.919127441547834
31,star,14.63672237639992
32,wrote,14.415300430289602
33,billed,14.124411812155055
34,dandy,14.124411812155055
35,buck,14.124411812155055
36,act,13.801149972398873
37,fast,13.758503781019375
38,mary,12.939368672591298
39,roosevelt,12.679569977937744
40,producer,12.670768919084807
41,lively,12.59193494085708
42,reilly,12.42442933498925
43,levey,12.42442933498925
44,georgette,12.42442933498925
45,baldpate,12.42442933498925
46,shows,12.054166199775775
47,office,11.825327489543271
48,lambs,11.613499118772921
49,stagehands,11.613499118772921
50,musical,11.449242320880082
51,write,11.353164299124675
52,dancer,11.05945806955911
53,revues,11.03813497386936
54,jones,10.941795930099264
55,several,10.907780221359712
56,july,10.845816998300375
57,another,10.710584082592838
58,four,10.614030827666486
59,songwriter,10.59184787124094
60,himself,10.518791263276036
61,1942,10.51478291615406
62,known,10.362882814012172
63,audience,10.246225704803546
64,ah,10.22720475765303
65,pigeons,10.22720475765303
66,tavern,10.22720475765303
67,dancing,10.22656285976427
68,comedy,10.05004135969547
69,business,10.000435348080705
70,dishes,9.918903397998514
71,mayor,9.803327064984554
72,greatest,9.712586088973314
73,little,9.672342139980469
74,revue,9.651840612749469
75,wilderness,9.416274541436703
76,guardia,9.416274541436703
77,000,9.34952590402261
78,together,9.281577477535993
79,keys,9.20555351012105
80,legitimate,9.20555351012105
81,acted,9.165642739033535
82,your,9.121556139081196
83,partnership,9.0149331505124
84,grossed,9.0149331505124
85,comedies,9.0149331505124
86,my,8.989140459566709
87,family,8.882470983439005
88,telegram,8.84091039653314
89,laughing,8.84091039653314
90,produced,8.819525929048616
91,1918,8.74913340447089
92,harris,8.680824981186067
93,managers,8.680824981186067
94,day,8.598547046298574
95,genius,8.586931740660061
96,violin,8.532609036878624
97,kid,8.39462329390472
98,hit,8.383463951643778
99,road,8.334682389028437
100,dissolved,8.265546251629578
101,stirring,8.265546251629578
102,writing,8.213326336539811
103,fan,8.144297007996709
104,premiere,8.144297007996709
105,give,8.060050879331266
106,role,8.060050879331266
107,script,8.029980180316812
108,johnny,8.029980180316812
109,fun,8.029980180316812
110,tour,7.928045913039764
111,hits,7.92184573777626
112,flag,7.92184573777626
113,cast,7.886087187115544
114,yellow,7.819259149001159
115,1878,7.819259149001159
116,serious,7.803890264551201
117,medal,7.763621203554779
118,gave,7.720348411725726
119,part,7.6736190996345375
120,country,7.535995732684087
121,reputation,7.459563720773917
122,genuine,7.454616035413249
123,partner,7.454616035413249
124,eugene,7.294530620066176
125,well,7.186508534597196
126,music,7.118287064703943
127,whole,7.054454869362088
128,mrs,6.962303496524225
129,starred,6.942749287138848
130,we,6.783502780852597
131,closest,6.643685819196921
132,whose,6.612353680031761
133,second,6.612353680031761
134,just,6.591465904107155
135,send,6.588887870820692
136,soldiers,6.588887870820692
137,sympathy,6.588887870820692
138,soft,6.588887870820692
139,same,6.550014755964968
140,inspiration,6.535551376656369
141,sit,6.535551376656369
142,previously,6.535551376656369
143,boy,6.5339220880266895
144,seldom,6.483600403849848
145,week,6.429563739770443
146,better,6.429563739770443
147,fifty,6.3835795627005245
148,popular,6.378715064829123
149,talking,6.335384459542404
150,rather,6.328713907373488
151,show,6.328713907373488
152,james,6.304022409963942
153,forty,6.288323464722016
154,hat,6.288323464722016
155,box,6.242344428272618
156,back,6.233017269348407
157,burlesquing,6.212214667494625
158,adds,6.212214667494625
159,troupers,6.212214667494625
160,meanest,6.212214667494625
161,1although,6.212214667494625
162,exits,6.212214667494625
163,pried,6.212214667494625
164,honeymooners,6.212214667494625
165,reproved,6.212214667494625
166,gatekeeper,6.212214667494625
167,titling,6.212214667494625
168,retainers,6.212214667494625
169,993,6.212214667494625
170,listenings,6.212214667494625
171,ronkin,6.212214667494625
172,booths,6.212214667494625
173,fennelly,6.212214667494625
174,talkings,6.212214667494625
175,dispeller,6.212214667494625
176,thoroughfare,6.212214667494625
177,energizing,6.212214667494625
178,daly,6.212214667494625
179,rosie,6.212214667494625
180,songwriting,6.212214667494625
181,heartfelt,6.212214667494625
182,britons,6.212214667494625
183,talkie,6.212214667494625
184,okay,6.212214667494625
185,costigan,6.212214667494625
186,pensioners,6.212214667494625
187,bootblack,6.212214667494625
188,tumulty,6.212214667494625
189,read,6.113482192796964
190,rich,6.068321674293359
191,strike,6.068321674293359
192,1916,6.068321674293359
193,played,6.0676797764045975
194,any,6.065160472952278
195,critics,6.04503815949845
196,la,5.9866776852528485
197,wife,5.974863184798122
198,note,5.947072430660489
199,sure,5.947072430660489
200,lost,5.934324488692097
201,far,5.912663744771636
202,manager,5.908236258946285
203,private,5.827551653383988
204,people,5.817293577955479
205,breeches,5.806749559386461
206,boone,5.806749559386461
207,submitting,5.806749559386461
208,tinkling,5.806749559386461
209,musketeers,5.806749559386461
210,transacted,5.806749559386461
211,penciled,5.806749559386461
212,autographed,5.806749559386461
213,owns,5.806749559386461
214,shea,5.806749559386461
215,sympathetically,5.806749559386461
216,velveteen,5.806749559386461
217,cocked,5.806749559386461
218,aleck,5.806749559386461
219,erudite,5.806749559386461
220,entrances,5.806749559386461
221,nolan,5.806749559386461
222,remembers,5.806749559386461
223,fits,5.806749559386461
224,archdiocese,5.806749559386461
225,mgr,5.806749559386461
226,870,5.806749559386461
227,caper,5.806749559386461
228,bugle,5.806749559386461
229,molly,5.806749559386461
230,garish,5.806749559386461
231,269,5.806749559386461
232,holliday,5.806749559386461
233,woke,5.806749559386461
234,kelley,5.806749559386461
235,popped,5.806749559386461
236,carlotta,5.806749559386461
237,orpheum,5.806749559386461
238,finale,5.806749559386461
239,ascap,5.806749559386461
240,movies,5.796057325644199
241,public,5.783105335641645
242,bad,5.760020314638842
243,right,5.744787783827502
244,park,5.724621160440041
245,acting,5.724621160440041
246,rise,5.724621160440041
247,having,5.664246033718937
248,friend,5.664246033718937
249,opportunity,5.655648808297702
250,league,5.655648808297702
251,each,5.624771779986405
252,franklin,5.622034571664939
253,get,5.605227736922823
254,production,5.524454243326075
255,paper,5.524454243326075
256,mingle,5.51906748693468
257,fiddle,5.51906748693468
258,exponents,5.51906748693468
259,throes,5.51906748693468
260,gloom,5.51906748693468
261,flop,5.51906748693468
262,vivacity,5.51906748693468
263,busied,5.51906748693468
264,vicar,5.51906748693468
265,spellman,5.51906748693468
266,georgie,5.51906748693468
267,wallingford,5.51906748693468
268,downs,5.51906748693468
269,keith,5.51906748693468
270,entertainments,5.51906748693468
271,swaying,5.51906748693468
272,climaxed,5.51906748693468
273,cagney,5.51906748693468
274,deems,5.51906748693468
275,posturing,5.51906748693468
276,hilarious,5.51906748693468
277,wisecracks,5.51906748693468
278,cronies,5.51906748693468
279,dapper,5.51906748693468
280,preview,5.51906748693468
281,friars,5.51906748693468
282,warden,5.51906748693468
283,loved,5.461949156317866
284,artist,5.431414212056289
285,fifth,5.401338457327208
286,directed,5.401338457327208
287,grand,5.401338457327208
288,film,5.342510686914622
289,performance,5.342510686914622
290,avenue,5.342510686914622
291,writers,5.313733212010423
292,proved,5.313733212010423
293,presented,5.313733212010423
294,cristo,5.29592393562047
295,theatres,5.29592393562047
296,peck,5.29592393562047
297,transforming,5.29592393562047
298,sub,5.29592393562047
299,jauntily,5.29592393562047
300,malone,5.29592393562047
301,hoofer,5.29592393562047
302,rehearse,5.29592393562047
303,textbook,5.29592393562047
304,163,5.29592393562047
305,brightened,5.29592393562047
306,remarking,5.29592393562047
307,reassured,5.29592393562047
308,impersonation,5.29592393562047
309,allowances,5.29592393562047
310,including,5.291094874655731
311,hotel,5.2853639420265095
312,tell,5.25739145807703
313,person,5.25739145807703
314,put,5.256210760670374
315,ideas,5.202593509700801
316,night,5.170734893287456
317,mother,5.170734893287456
318,bring,5.149257015536478
319,movie,5.123112852401773
320,alone,5.123112852401773
321,really,5.123112852401773
322,21,5.123112852401773
323,rage,5.113602378826515
324,separately,5.113602378826515
325,considers,5.113602378826515
326,melodramas,5.113602378826515
327,straw,5.113602378826515
328,fidelity,5.113602378826515
329,rehearsed,5.113602378826515
330,jeremiah,5.113602378826515
331,rebuked,5.113602378826515
332,unfulfilled,5.113602378826515
333,regards,5.113602378826515
334,trademarks,5.113602378826515
335,burlesque,5.113602378826515
336,woodlawn,5.113602378826515
337,josephine,5.113602378826515
338,mausoleum,5.113602378826515
339,impersonated,5.113602378826515
340,stylist,5.113602378826515
341,burdens,5.113602378826515
342,nineties,5.113602378826515
343,central,5.097306042729957
344,former,5.087627085639448
345,talk,5.046670426761377
346,playing,5.021825386764263
347,devoted,4.997285201580635
348,signed,4.997285201580635
349,without,4.990844498984784
350,heyday,4.959451698999257
351,inspirational,4.959451698999257
352,periodically,4.959451698999257
353,tempo,4.959451698999257
354,improbable,4.959451698999257
355,nellie,4.959451698999257
356,rows,4.959451698999257
357,continually,4.959451698999257
358,amnesty,4.959451698999257
359,mourned,4.959451698999257
360,vagabond,4.959451698999257
361,baffled,4.959451698999257
362,casey,4.959451698999257
363,tailor,4.959451698999257
364,refrain,4.959451698999257
365,providence,4.959451698999257
366,jr,4.925421183128508
367,oct,4.902029103602125
368,every,4.897086868472471
369,except,4.83345095664486
370,fulton,4.8259203063747345
371,symbols,4.8259203063747345
372,predominantly,4.8259203063747345
373,precocious,4.8259203063747345
374,offended,4.8259203063747345
375,dramatist,4.8259203063747345
376,goodbye,4.8259203063747345
377,condolence,4.8259203063747345
378,quarreled,4.8259203063747345
379,sailors,4.8259203063747345
380,forthcoming,4.8259203063747345
381,derby,4.8259203063747345
382,eased,4.8259203063747345
383,dragged,4.8259203063747345
384,immersed,4.8259203063747345
385,unorthodox,4.8259203063747345
386,between,4.8211334445196
387,parents,4.81110435544861
388,1941,4.81110435544861
389,thus,4.78900468307544
390,days,4.761725562631062
391,failed,4.745524709802629
392,birthday,4.724134131569133
393,incidentally,4.7081372707183515
394,smart,4.7081372707183515
395,adept,4.7081372707183515
396,oak,4.7081372707183515
397,nationally,4.7081372707183515
398,proposition,4.7081372707183515
399,agnes,4.7081372707183515
400,archbishop,4.7081372707183515
401,coined,4.7081372707183515
402,pencil,4.7081372707183515
403,tricks,4.7081372707183515
404,arnold,4.7081372707183515
405,elmer,4.7081372707183515
406,manhood,4.7081372707183515
407,noise,4.7081372707183515
408,boards,4.7081372707183515
409,although,4.689082788269278
410,these,4.674762952011305
411,title,4.661301739102375
412,dances,4.602776755060525
413,dubious,4.602776755060525
414,revised,4.602776755060525
415,ages,4.602776755060525
416,intestinal,4.602776755060525
417,meal,4.602776755060525
418,rites,4.602776755060525
419,versatile,4.602776755060525
420,billie,4.602776755060525
421,restaurant,4.602776755060525
422,authentic,4.602776755060525
423,securities,4.602776755060525
424,ups,4.602776755060525
425,riches,4.602776755060525
426,dramatized,4.602776755060525
427,thank,4.602776755060525
428,taking,4.600383324132958
429,25,4.560778069540598
430,husband,4.54126571964987
431,received,4.521597439610453
432,entertainer,4.5074665752562
433,monte,4.5074665752562
434,violinist,4.5074665752562
435,solemn,4.5074665752562
436,waving,4.5074665752562
437,paths,4.5074665752562
438,charities,4.5074665752562
439,giants,4.5074665752562
440,deepest,4.5074665752562
441,peacefully,4.5074665752562
442,hello,4.5074665752562
443,750,4.5074665752562
444,costumes,4.5074665752562
445,tunes,4.5074665752562
446,association,4.502802995794093
447,eight,4.502802995794093
448,author,4.502802995794093
449,age,4.46778433755045
450,successful,4.465066027185328
451,offered,4.465066027185328
452,young,4.428048657300389
453,writer,4.428027931650853
454,woodrow,4.42045519826657
455,swinging,4.42045519826657
456,employees,4.42045519826657
457,presenting,4.42045519826657
458,miracle,4.42045519826657
459,producers,4.42045519826657
460,cane,4.42045519826657
461,satire,4.42045519826657
462,telegrams,4.42045519826657
463,recognizing,4.42045519826657
464,dramas,4.42045519826657
465,big,4.391663293484472
466,jerry,4.3404124905930335
467,stepping,4.3404124905930335
468,prodigy,4.3404124905930335
469,intervals,4.3404124905930335
470,eccentric,4.3404124905930335
471,trail,4.3404124905930335
472,mature,4.3404124905930335
473,proclamation,4.3404124905930335
474,generosity,4.3404124905930335
475,bedroom,4.3404124905930335
476,feed,4.3404124905930335
477,filming,4.3404124905930335
478,frances,4.3404124905930335
479,unquestionably,4.3404124905930335
480,members,4.33832679932015
481,grew,4.33832679932015
482,announced,4.33832679932015
483,figure,4.303543313896411
484,seven,4.303543313896411
485,married,4.299273523149287
486,along,4.269354447177811
487,orthodox,4.266304518439312
488,raid,4.266304518439312
489,lover,4.266304518439312
490,formula,4.266304518439312
491,appreciate,4.266304518439312
492,voiced,4.266304518439312
493,delight,4.266304518439312
494,ethel,4.266304518439312
495,don,4.252476709886082
496,sometimes,4.235740210545048
497,gene,4.19731164695236
498,teens,4.19731164695236
499,mechanical,4.19731164695236
500,dutch,4.19731164695236
501,resisted,4.19731164695236
502,tune,4.19731164695236
503,cathedral,4.19731164695236
504,amazing,4.19731164695236
505,tony,4.19731164695236
506,away,4.170160564899067
507,knew,4.1381598822061845
508,devices,4.132773125814789
509,beloved,4.132773125814789
510,royalties,4.132773125814789
511,sketch,4.132773125814789
512,patrick,4.132773125814789
513,warner,4.132773125814789
514,memories,4.132773125814789
515,applause,4.132773125814789
516,photograph,4.132773125814789
517,row,4.132773125814789
518,pastor,4.132773125814789
519,falls,4.132773125814789
520,telegraph,4.132773125814789
521,manuscript,4.132773125814789
522,money,4.075654795197976
523,endless,4.0721485039983545
524,anxious,4.0721485039983545
525,derived,4.0721485039983545
526,grief,4.0721485039983545
527,guild,4.0721485039983545
528,treat,4.0721485039983545
529,furniture,4.0721485039983545
530,danced,4.0721485039983545
531,sorrow,4.0721485039983545
532,idol,4.0721485039983545
533,dawn,4.0721485039983545
534,composers,4.0721485039983545
535,period,4.060329049706837
536,15,4.015044096207317
537,distributed,4.014990090158406
538,temporarily,4.014990090158406
539,gay,4.014990090158406
540,listed,4.014990090158406
541,parker,4.014990090158406
542,faces,4.014990090158406
543,ignored,4.014990090158406
544,millionaire,4.014990090158406
545,walker,3.96092286888813
546,sam,3.96092286888813
547,forming,3.96092286888813
548,cool,3.96092286888813
549,enterprises,3.96092286888813
550,purchased,3.96092286888813
551,collaborated,3.96092286888813
552,continuous,3.96092286888813
553,64,3.96092286888813
554,privilege,3.96092286888813
555,mystery,3.96092286888813
556,appreciation,3.96092286888813
557,performer,3.96092286888813
558,use,3.956216325794731
559,famous,3.956216325794731
560,sent,3.941775829847757
561,june,3.913203915352804
562,living,3.913203915352804
563,head,3.913203915352804
564,civic,3.9096295745005794
565,dated,3.9096295745005794
566,maker,3.9096295745005794
567,unique,3.9096295745005794
568,match,3.9096295745005794
569,funny,3.9096295745005794
570,curtain,3.9096295745005794
571,going,3.8850344355893256
572,joined,3.8850344355893256
573,march,3.8710970969571394
574,publishers,3.860839410331147
575,internationally,3.860839410331147
576,routine,3.860839410331147
577,administered,3.860839410331147
578,walks,3.860839410331147
579,throw,3.860839410331147
580,painful,3.860839410331147
581,see,3.8435104526924677
582,astonished,3.8143193946962546
583,taylor,3.8143193946962546
584,clean,3.8143193946962546
585,loan,3.8143193946962546
586,representing,3.8143193946962546
587,barred,3.8143193946962546
588,dear,3.8143193946962546
589,spot,3.8143193946962546
590,our,3.7894531079166294
591,anger,3.7698676321254205
592,drink,3.7698676321254205
593,storm,3.7698676321254205
594,fly,3.7698676321254205
595,daniel,3.7698676321254205
596,member,3.7629626544165875
597,asked,3.74984785332427
598,glad,3.7273080177066245
599,conception,3.7273080177066245
600,authors,3.7273080177066245
601,automobile,3.7273080177066245
602,midnight,3.7273080177066245
603,intellectuals,3.7273080177066245
604,sources,3.7273080177066245
605,split,3.7273080177066245
606,celebration,3.7273080177066245
607,missing,3.7273080177066245
608,fresh,3.7273080177066245
609,go,3.6982320854125246
610,bonds,3.6864860231863696
611,veteran,3.6864860231863696
612,obscure,3.6864860231863696
613,verse,3.6864860231863696
614,ailment,3.6864860231863696
615,rooms,3.6864860231863696
616,overlooking,3.6864860231863696
617,holiday,3.6864860231863696
618,revival,3.6864860231863696
619,used,3.6729152916686774
620,soon,3.6479149661402146
621,recovery,3.647265310033088
622,desk,3.647265310033088
623,generous,3.647265310033088
624,ending,3.647265310033088
625,temperament,3.647265310033088
626,amid,3.647265310033088
627,shakespeare,3.647265310033088
628,description,3.647265310033088
629,respected,3.647265310033088
630,speed,3.647265310033088
631,ago,3.6355310256443722
632,appeared,3.6232232944956158
633,neighborhood,3.609524982050241
634,fashioned,3.609524982050241
635,unexpected,3.609524982050241
636,again,3.598832748307979
637,take,3.598832748307979
638,connected,3.5731573378793664
639,players,3.5731573378793664
640,stepped,3.5731573378793664
641,crash,3.5731573378793664
642,1890,3.5731573378793664
643,10,3.550926266262994
644,anybody,3.538066018068096
645,underwent,3.538066018068096
646,whom,3.515734742482234
647,technique,3.5041644663924147
648,whenever,3.5041644663924147
649,treated,3.5041644663924147
650,francis,3.5041644663924147
651,shop,3.5041644663924147
652,sang,3.5041644663924147
653,content,3.5041644663924147
654,quick,3.471374643569424
655,fifteen,3.471374643569424
656,orchestra,3.471374643569424
657,widespread,3.4396259452548437
658,laid,3.4396259452548437
659,copies,3.4396259452548437
660,text,3.4396259452548437
661,possessed,3.4396259452548437
662,1901,3.40885428658809
663,dollars,3.40885428658809
664,owner,3.40885428658809
665,keen,3.40885428658809
666,cemetery,3.40885428658809
667,profession,3.40885428658809
668,michael,3.40885428658809
669,accident,3.40885428658809
670,often,3.4027103219555497
671,ever,3.3808521808911696
672,end,3.3808521808911696
673,five,3.3808521808911696
674,rival,3.379001323438409
675,sell,3.379001323438409
676,mouth,3.379001323438409
677,wing,3.379001323438409
678,request,3.379001323438409
679,facts,3.379001323438409
680,height,3.379001323438409
681,instrument,3.379001323438409
682,willing,3.379001323438409
683,ambition,3.379001323438409
684,current,3.379001323438409
685,brought,3.359230348682738
686,illustrated,3.3500137865651567
687,composed,3.3500137865651567
688,beauty,3.3500137865651567
689,rare,3.3500137865651567
690,successfully,3.3500137865651567
691,150,3.3500137865651567
692,corner,3.3500137865651567
693,experiences,3.3500137865651567
694,occasions,3.3500137865651567
695,composer,3.3500137865651567
696,spoken,3.3500137865651567
697,devotion,3.3500137865651567
698,too,3.3485064623999676
699,very,3.337839770449242
700,always,3.337839770449242
701,acts,3.3218429095984603
702,traveling,3.3218429095984603
703,everybody,3.3218429095984603
704,dominated,3.3218429095984603
705,prince,3.3218429095984603
706,attending,3.3218429095984603
707,rev,3.3218429095984603
708,gradually,3.3218429095984603
709,high,3.3061768400158806
710,600,3.294443935410346
711,response,3.294443935410346
712,save,3.294443935410346
713,developing,3.294443935410346
714,baseball,3.294443935410346
715,granted,3.294443935410346
716,controlled,3.294443935410346
717,market,3.294443935410346
718,studio,3.2677756883281845
719,unknown,3.2677756883281845
720,rate,3.2677756883281845
721,companies,3.2677756883281845
722,catholic,3.2677756883281845
723,admired,3.2677756883281845
724,silent,3.2677756883281845
725,estimated,3.2677756883281845
726,lessons,3.2677756883281845
727,variety,3.2677756883281845
728,passing,3.2677756883281845
729,house,3.254494377648106
730,late,3.254494377648106
731,thousand,3.241800201924924
732,pleasure,3.241800201924924
733,characters,3.241800201924924
734,1908,3.241800201924924
735,buy,3.241800201924924
736,congressional,3.241800201924924
737,friendship,3.216482393940634
738,effective,3.216482393940634
739,starting,3.216482393940634
740,screen,3.216482393940634
741,hundred,3.216482393940634
742,produce,3.216482393940634
743,player,3.216482393940634
744,appearing,3.216482393940634
745,subsequent,3.216482393940634
746,modest,3.216482393940634
747,both,3.204113879990989
748,caught,3.1917897813502623
749,finest,3.1917897813502623
750,atlantic,3.1917897813502623
751,annual,3.1917897813502623
752,walk,3.167692229771202
753,merely,3.167692229771202
754,protest,3.167692229771202
755,demand,3.167692229771202
756,characteristic,3.167692229771202
757,list,3.167692229771202
758,praise,3.144161732361008
759,1905,3.144161732361008
760,funds,3.144161732361008
761,worth,3.144161732361008
762,1915,3.121172214136309
763,resulted,3.121172214136309
764,burial,3.121172214136309
765,piece,3.121172214136309
766,make,3.1070074291570076
767,advanced,3.0986993582842506
