,term,score
0,cratty,55.90993200745163
1,miss,15.883047377811563
2,bellaire,12.42442933498925
3,council,11.520040629277684
4,christian,10.318877835764532
5,600,9.883331806231038
6,she,9.73294871589949
7,ohio,9.575369344050786
8,lexington,9.416274541436703
9,national,9.321022287471022
10,associations,8.39462329390472
11,board,8.334682389028437
12,avenue,8.013766030371933
13,rockefeller,7.539735264250841
14,committee,7.086201197353699
15,secretary,6.429563739770443
16,university,6.408227759981978
17,thoburn,6.212214667494625
18,1906,6.197398716568501
19,churchmen,5.806749559386461
20,547,5.806749559386461
21,wesleyan,5.51906748693468
22,1922,5.431414212056289
23,directed,5.401338457327208
24,riverside,5.29592393562047
25,financiers,5.29592393562047
26,institute,5.2298048138123585
27,delaware,5.113602378826515
28,commissions,4.959451698999257
29,relations,4.949090098422513
30,mabel,4.8259203063747345
31,mater,4.8259203063747345
32,honolulu,4.7081372707183515
33,occupying,4.7081372707183515
34,110,4.602776755060525
35,orient,4.602776755060525
36,her,4.548870354714208
37,cure,4.5074665752562
38,alma,4.5074665752562
39,thirteen,4.5074665752562
40,bishop,4.5074665752562
41,donald,4.3404124905930335
42,secretaries,4.3404124905930335
43,women,4.303543313896411
44,graduating,4.266304518439312
45,1868,4.19731164695236
46,niece,4.132773125814789
47,cincinnati,3.96092286888813
48,diplomats,3.96092286888813
49,federation,3.9096295745005794
50,canada,3.7698676321254205
51,member,3.7629626544165875
52,general,3.7238734622706473
53,entering,3.6864860231863696
54,sixty,3.647265310033088
55,india,3.5731573378793664
56,presidents,3.5731573378793664
57,1890,3.5731573378793664
58,pneumonia,3.471374643569424
59,sixth,3.471374643569424
60,newly,3.4396259452548437
61,harold,3.379001323438409
62,laws,3.3500137865651567
63,assembly,3.3218429095984603
64,held,3.275007377982484
65,1904,3.241800201924924
66,anna,3.241800201924924
67,organizations,3.216482393940634
68,toured,3.216482393940634
69,300,3.1917897813502623
70,educated,3.1917897813502623
71,1900,3.1917897813502623
72,membership,3.1917897813502623
73,pacific,3.167692229771202
74,drive,3.144161732361008
75,burial,3.121172214136309
76,honored,3.076720451565475
77,doctor,3.0135415499439437
78,besides,2.9933388426264242
79,workers,2.9735362153302445
80,states,2.8915526678208225
81,public,2.8915526678208225
82,school,2.8915526678208225
83,60,2.880010157319421
84,leaving,2.8623105802200204
85,principal,2.7464787646948983
86,countries,2.730974578158933
87,schools,2.730974578158933
88,services,2.7157071060281446
89,activities,2.7157071060281446
90,ten,2.6858541428784637
91,teacher,2.6426819710132547
92,charge,2.628695729038515
93,labor,2.628695729038515
94,conference,2.6149024069061793
95,mary,2.5878737345182596
96,twenty,2.5359139955875487
97,hall,2.5359139955875487
98,leaders,2.5109126933821315
99,sister,2.4865212402579724
100,student,2.4865212402579724
101,illness,2.4745450492112564
102,jr,2.462710591564254
103,foreign,2.41672547832243
104,brother,2.38357327100553
105,church,2.3620670657845664
106,chicago,2.3102419979199804
107,attended,2.280389034770299
108,eight,2.2514014978970467
109,association,2.2514014978970467
110,funeral,2.2514014978970467
111,survived,2.2232306209303507
112,position,2.2140139658254263
113,cause,2.204881482262154
114,room,2.195831646742236
115,international,2.17797402934223
116,july,2.169163399660075
117,morning,2.169163399660075
118,created,2.1517716569482057
119,study,2.1431879132568143
120,party,2.1431879132568143
121,degree,2.126238354943041
122,james,2.101340803321314
123,group,2.0690799411030922
124,following,2.053331584134953
125,social,2.0301645248534186
126,served,2.0075220481036586
127,hospital,2.000087069616141
128,street,1.956601957676402
129,today,1.914929261275834
130,daughter,1.7813978686513112
131,months,1.7520702535567914
132,yesterday,1.7520702535567914
133,city,1.7235782977624852
134,high,1.6530884200079403
135,john,1.6478664760267887
136,lived,1.637503688991242
137,late,1.627247188824053
138,between,1.6070444815065335
139,days,1.587241854210354
140,000,1.5582543173371017
141,four,1.5162901182380695
142,age,1.48926144585015
143,young,1.4760162191001296
144,peronista,0.0
145,pharmacy,0.0
146,perons,0.0
147,peroration,0.0
148,pharmacist,0.0
149,phases,0.0
150,pharmacies,0.0
151,perparation,0.0
152,pharmaceuticals,0.0
153,perpetrator,0.0
154,phase,0.0
155,peronist,0.0
156,pheasant,0.0
157,perpetually,0.0
158,peronismo,0.0
159,peron,0.0
160,pernicious,0.0
161,permutation,0.0
162,phelan,0.0
163,phelps,0.0
164,permitting,0.0
165,permitted,0.0
166,permits,0.0
167,phenomena,0.0
168,perpetual,0.0
169,pete,0.0
170,pharmaceutical,0.0
171,permit,0.0
172,pforta,0.0
173,perry,0.0
174,perranarworthal,0.0
175,perplexity,0.0
176,ph,0.0
177,pha,0.0
178,phaedra,0.0
179,perplexities,0.0
180,perplexing,0.0
181,phallic,0.0
182,perplexed,0.0
183,perplex,0.0
184,phalloides,0.0
185,perpetuity,0.0
186,pham,0.0
187,phantom,0.0
188,phantoms,0.0
189,perpetuating,0.0
190,pharaoh,0.0
191,pharaohs,0.0
192,perpetuated,0.0
193,pharaonic,0.0
194,pharisaism,0.0
195,perpetuate,0.0
196,permissive,0.0
197,phenomenal,0.0
198,perish,0.0
199,philistine,0.0
200,perky,0.0
201,philistinism,0.0
202,perkins,0.0
203,perkerson,0.0
204,perjury,0.0
205,peritonitis,0.0
206,perished,0.0
207,phillies,0.0
208,phillip,0.0
209,phillipines,0.0
210,periphery,0.0
211,permissiveness,0.0
212,phillipp,0.0
213,peripheral,0.0
214,peripateticism,0.0
215,peripatetic,0.0
216,periods,0.0
217,periodicals,0.0
218,periodically,0.0
219,periodical,0.0
220,periodic,0.0
221,period,0.0
222,perins,0.0
223,perle,0.0
224,perm,0.0
225,philippines,0.0
226,permanency,0.0
227,perryville,0.0
228,permission,0.0
229,phenomenon,0.0
230,permissible,0.0
231,phi,0.0
232,phil,0.0
233,philadelphia,0.0
234,philanderer,0.0
235,permeated,0.0
236,philanthropic,0.0
237,philanthropies,0.0
238,philanthropist,0.0
239,philanthropy,0.0
240,phileas,0.0
241,philharmonia,0.0
242,permeate,0.0
243,permanently,0.0
244,permanent,0.0
245,philharmonic,0.0
246,philip,0.0
247,philippe,0.0
248,philippic,0.0
249,philippine,0.0
