,term,score
0,garbo,164.08129041674098
1,her,118.27062922256943
2,she,90.84085468172857
3,screen,28.948341545465706
4,movie,28.17712068820975
5,christina,26.479619678102353
6,movies,26.082257965398895
7,anna,25.93440161539939
8,stiller,24.8488586699785
9,starring,22.619205792752524
10,gilbert,22.537332876281
11,swedish,22.10227599133285
12,karenina,22.07626994773872
13,stockholm,20.9865582347618
14,queen,20.45312571952854
15,camera,19.071596973481274
16,film,18.698787404201177
17,berling,18.636644002483877
18,gosta,18.636644002483877
19,ninotchka,18.636644002483877
20,woman,17.214173255585646
21,lover,17.065218073757247
22,greta,15.88777180686141
23,camille,15.88777180686141
24,torrent,15.88777180686141
25,co,15.856091826079528
26,christie,15.340807136479546
27,actress,14.490143314110497
28,hollywood,13.891137315047395
29,directed,13.50334614331802
30,adaptation,13.26136559479971
31,roles,13.177775741641383
32,love,13.174989880453415
33,gossip,13.0212374717791
34,1932,12.873142538841195
35,gustafsson,12.42442933498925
36,shopped,12.42442933498925
37,heartless,12.42442933498925
38,bainbridge,12.42442933498925
39,lovisa,12.42442933498925
40,publicity,12.220856985378047
41,mayer,12.216445511995063
42,sweden,11.88276860666439
43,mata,11.613499118772921
44,milkshake,11.613499118772921
45,hari,11.613499118772921
46,mamoulian,11.613499118772921
47,melvyn,11.613499118772921
48,sound,11.04890848665215
49,face,10.845816998300375
50,directing,10.828574946150724
51,women,10.758858284741029
52,mystical,10.59184787124094
53,screens,10.22720475765303
54,lenox,10.22720475765303
55,often,10.20813096586665
56,beauty,10.05004135969547
57,comedy,10.05004135969547
58,revealed,9.96552872879538
59,enigma,9.918903397998514
60,silent,9.803327064984554
61,reports,9.503076689313605
62,illusion,9.416274541436703
63,flesh,9.416274541436703
64,sees,9.416274541436703
65,makeup,9.416274541436703
66,version,9.363516642408928
67,salary,9.363516642408928
68,faced,9.102482511440039
69,performances,9.04062464983183
70,slogan,9.0149331505124
71,lady,8.980016527879272
72,manhattan,8.920608645990733
73,reluctantly,8.84091039653314
74,1930,8.783326586968943
75,instinct,8.680824981186067
76,provided,8.534756512524453
77,peasant,8.532609036878624
78,susan,8.532609036878624
79,actresses,8.39462329390472
80,insistence,8.265546251629578
81,executives,8.265546251629578
82,john,8.239332380133943
83,novel,8.147121318084434
84,sorrow,8.144297007996709
85,divine,8.144297007996709
86,privacy,8.144297007996709
87,grand,8.102007685990813
88,played,8.090239701872797
89,role,8.060050879331266
90,deep,8.057562428635391
91,faces,8.029980180316812
92,devil,8.029980180316812
93,1931,8.013766030371933
94,1927,7.970599818015634
95,herself,7.970599818015634
96,hotel,7.928045913039764
97,absorbed,7.92184573777626
98,won,7.767518572892519
99,mysterious,7.721678820662294
100,alone,7.68466927860266
101,affairs,7.68466927860266
102,why,7.645959064094935
103,barred,7.628638789392509
104,feel,7.495927802370952
105,age,7.446307229250751
106,1936,7.388131774692762
107,reporters,7.372972046372739
108,invariably,7.294530620066176
109,avoid,7.219049964100482
110,douglas,7.219049964100482
111,ship,7.219049964100482
112,scenes,7.146314675758733
113,otherwise,7.0083289327848295
114,visitors,6.942749287138848
115,starred,6.942749287138848
116,oscar,6.758002646876818
117,repeated,6.758002646876818
118,heavily,6.758002646876818
119,latin,6.758002646876818
120,demands,6.700027573130313
121,offered,6.697599040777992
122,off,6.697012924799935
123,50,6.669691862791052
124,best,6.654459331979712
125,east,6.642041897476279
126,image,6.588887870820692
127,rate,6.535551376656369
128,academy,6.5339220880266895
129,director,6.5339220880266895
130,houses,6.483600403849848
131,finest,6.3835795627005245
132,don,6.378715064829123
133,do,6.309942717059958
134,hat,6.288323464722016
135,classic,6.288323464722016
136,humanized,6.212214667494625
137,visky,6.212214667494625
138,gimme,6.212214667494625
139,mauritz,6.212214667494625
140,giddily,6.212214667494625
141,schlee,6.212214667494625
142,seastrom,6.212214667494625
143,adulteress,6.212214667494625
144,sennwald,6.212214667494625
145,awarding,6.212214667494625
146,aimlessness,6.212214667494625
147,amnesiac,6.212214667494625
148,introductions,6.212214667494625
149,rushes,6.212214667494625
150,goldschmidt,6.212214667494625
151,brackett,6.212214667494625
152,lagerlof,6.212214667494625
153,gayelord,6.212214667494625
154,prow,6.212214667494625
155,urbaneness,6.212214667494625
156,novice,6.212214667494625
157,fils,6.212214667494625
